Title	URL	Assignees	Status	Task Type	Sprint	Nature	Epic	Labels	Linked pull requests
Loading component	https://github.com/SkySync-EPFL/skysync/issues/179	mathieumognol	Done in Sprint 5		5	Sprint Task			https://github.com/SkySync-EPFL/skysync/pull/188
Create success/warning/error snackbar	https://github.com/SkySync-EPFL/skysync/issues/159	mathieumognol	Done in Sprint 5		5	Sprint Task			https://github.com/SkySync-EPFL/skysync/pull/189
Flight time counter	https://github.com/SkySync-EPFL/skysync/issues/182	Baribal02	Done in Sprint 5		5	Sprint Task			https://github.com/SkySync-EPFL/skysync/pull/192
finish integration of FlightDetail screen (without ViewModel)	https://github.com/SkySync-EPFL/skysync/issues/201	RAFInery	Done in Sprint 5		5				https://github.com/SkySync-EPFL/skysync/pull/175
Rework the calendar and its tests	https://github.com/SkySync-EPFL/skysync/issues/204	Prolas	Done in Sprint 5	Sprint task	5				https://github.com/SkySync-EPFL/skysync/pull/232
End-to-end test 2	https://github.com/SkySync-EPFL/skysync/issues/184	hacknstack	Done in Sprint 5		5	Sprint Task			https://github.com/SkySync-EPFL/skysync/pull/209
Make a custom searchBar composant	https://github.com/SkySync-EPFL/skysync/issues/191	Baribal02	Done in Sprint 5		5	Sprint Task			https://github.com/SkySync-EPFL/skysync/pull/200
Explore Kotlin coroutine	https://github.com/SkySync-EPFL/skysync/issues/132	Plouc314	Done in Sprint 5		5	Sprint Task			https://github.com/SkySync-EPFL/skysync/pull/194
Explore Chat backend	https://github.com/SkySync-EPFL/skysync/issues/180	Plouc314	Done in Sprint 5		5	Sprint Task			https://github.com/SkySync-EPFL/skysync/pull/195
UI: Chat Screen	https://github.com/SkySync-EPFL/skysync/issues/187	Zep3k	Done in Sprint 5		5	Sprint Task			https://github.com/SkySync-EPFL/skysync/pull/208
Integrate Confirm Flight UI	https://github.com/SkySync-EPFL/skysync/issues/158	hacknstack	Done in Sprint 5		5	Sprint Task	Flight Planing		https://github.com/SkySync-EPFL/skysync/pull/207
User fix roleTypes	https://github.com/SkySync-EPFL/skysync/issues/164	Plouc314	Done in Sprint 5		5	Sprint Task			https://github.com/SkySync-EPFL/skysync/pull/203
DB user updates	https://github.com/SkySync-EPFL/skysync/issues/225	Plouc314	Sprint Tasks		7	Sprint Task			
